Acropora2085	K17597
Acropora60944	K10408
Acropora26778	K23621
Acropora47219	K18486
Acropora39215	K06515
Acropora87575	K18222
Acropora5682	K09355
Acropora9213	K25531
Acropora2655	K02366
Acropora4732	K06724
Acropora83536	K04989
Acropora61343	K02984
Acropora75845	K04851
Acropora75120	K03885
Acropora12052	K03843
Acropora26756	K17548
Acropora1926	K25815
Acropora45275	K20405
Acropora64156	K03178
Acropora22068	K16479
Acropora15420	K10770
Acropora9736	K10596
Acropora6388	K06698
Acropora8615	K05888
Acropora89108	K03350
Acropora19578	K09662
Acropora57481	K16748
Acropora70471	K24459
Acropora16066	K14834
Acropora90834	K16857
Acropora82823	K17506
Acropora4555	K13096
Acropora19214	K00605
Acropora36912	K12818
Acropora10037	K01611
Acropora72216	K14498
Acropora14591	K22991
Acropora40343	K17868
Acropora24056	K15042
Acropora78456	K04886
Acropora63923	K00665
Acropora24650	K02599
Acropora88870	K11628
Acropora27473	K00512
Acropora14710	K24431
Acropora85494	K25458
Acropora75462	K06176
Acropora16429	K03130
Acropora43652	K01176
Acropora76968	K03006
Acropora35707	K12132
Acropora49780	K24464
Acropora24006	K04083
Acropora11820	K24095
Acropora6245	K02321
Acropora5045	K00252
Acropora18467	K14354
Acropora5272	K02685
Acropora14317	K24514
Acropora76692	K23380
Acropora26542	K13157
Acropora14926	K12611
Acropora30560	K24427
Acropora36474	K07151
Acropora63195	K08857
Acropora77749	K03145
Acropora6741	K10611
Acropora48049	K02218
Acropora41249	K03522
Acropora26132	K15285
Acropora67341	K05592
Acropora6825	K21893
Acropora10245	K20184
Acropora37777	K02308
Acropora7385	K05969
Acropora11857	K22402
Acropora1425	K12624
Acropora45268	K05031
Acropora35252	K13207
Acropora5927	K11173
Acropora31356	K02882
Acropora14388	K14072
Acropora27211	K15680
Acropora74927	K16681
Acropora20402	K02183
Acropora31528	K04986
Acropora8880	K20630
Acropora69491	K23437
Acropora33170	K12741
Acropora9471	K10960
Acropora54344	K03164
Acropora46586	K10382
Acropora1650	K12836
Acropora4025	K08967
Acropora13964	K25686
Acropora6570	K19329
Acropora8181	K11161
Acropora66784	K01358
Acropora36170	K23286
Acropora1993	K22654
Acropora55508	K13864
Acropora7575	K06236
Acropora24739	K14819
Acropora15971	K02882
Acropora4910	K14407
Acropora8784	K10642
Acropora2011	K18183
Acropora26880	K11547
Acropora57388	K00451
Acropora45397	K20221
Acropora6859	K15176
Acropora14303	K11251
Acropora19770	K10656
Acropora26827	K04532
Acropora42914	K00873
Acropora81611	K22125
Acropora8	K02703
Acropora19067	K25808
Acropora70300	K16309
Acropora12643	K10703
Acropora13439	K13335
Acropora15395	K00218
Acropora2531	K19862
Acropora16671	K16526
Acropora5065	K18423
Acropora23562	K11150
Acropora34279	K10455
Acropora68874	K09454
Acropora16598	K03019
Acropora30549	K23720
Acropora25711	K18798
Acropora54525	K21440
Acropora52711	K12858
Acropora40050	K06052
Acropora52810	K04606
Acropora56803	K23994
Acropora62212	K10896
Acropora79792	K10408
Acropora19942	K16196
Acropora9172	K13196
Acropora12005	K03553
Acropora29801	K24869
Acropora79783	K01077
Acropora24522	K08810
Acropora28125	K02183
Acropora17136	K09624
Acropora43488	K01595
Acropora307	K09044
Acropora75644	K24887
Acropora4546	K17700
Acropora67327	K00106
Acropora24788	K11978
Acropora28687	K04955
Acropora28945	K02726
Acropora35356	K00939
Acropora4942	K11859
Acropora25897	K00381
Acropora42711	K00873
Acropora24420	K05349
Acropora72385	K08726
Acropora10993	K20406
Acropora26911	K02967
Acropora3165	K01596
Acropora27358	K09108
Acropora40549	K06642
Acropora20266	K00939
Acropora16342	K12870
Acropora14605	K14829
Acropora29055	K14863
Acropora35337	K02997
Acropora64509	K08202
Acropora23926	K10765
Acropora21166	K06126
Acropora36315	K20222
Acropora29301	K04985
Acropora60735	K01519
Acropora1364	K12200
Acropora19414	K14310
Acropora3492	K04426
Acropora67579	K10901
Acropora29534	K00731
Acropora3906	K12840
Acropora11901	K06841
Acropora12304	K09539
Acropora20455	K00131
Acropora28037	K05502
Acropora18761	K08886
Acropora14919	K00249
Acropora58299	K02887
Acropora22370	K07375
Acropora3381	K26273
Acropora32201	K03845
Acropora6715	K01754
Acropora52222	K10865
Acropora3188	K17286
Acropora26135	K19673
Acropora5191	K18741
Acropora36387	K26436
Acropora2750	K17341
Acropora49691	K22182
Acropora18174	K11729
Acropora9937	K11979
Acropora14872	K06054
Acropora44963	K22684
Acropora83818	K05275
Acropora87783	K13144
Acropora65468	K17300
Acropora76717	K24185
Acropora20227	K20178
Acropora18100	K01667
Acropora59864	K00013
Acropora68799	K09422
Acropora12977	K04659
Acropora7756	K02578
Acropora12176	K01362
Acropora31483	K22826
Acropora88913	K05312
Acropora35522	K03263
Acropora9889	K15837
Acropora73844	K24014
Acropora47363	K14836
Acropora29432	K12867
Acropora10915	K00031
Acropora20982	K19527
Acropora77235	K13448
Acropora59236	K16480
Acropora35273	K07497
Acropora18858	K18038
Acropora90258	K01887
Acropora36074	K03102
Acropora33965	K25291
Acropora25417	K15100
Acropora21901	K11096
Acropora6783	K01365
Acropora63051	K00167
Acropora27034	K00326
Acropora82471	K01895
Acropora27889	K01477
Acropora44760	K10570
Acropora2917	K13431
Acropora24394	K08202
Acropora28253	K12893
Acropora44663	K07427
Acropora61197	K01360
Acropora9486	K10085
Acropora7769	K24013
Acropora564	K01255
Acropora13386	K02163
Acropora53456	K00285
Acropora54562	K04712
Acropora2452	K16506
Acropora7069	K13644
Acropora78359	K14440
Acropora22294	K16482
Acropora27182	K21766
Acropora20575	K02183
Acropora19856	K13860
Acropora20819	K12486
Acropora71266	K25543
Acropora30157	K24469
Acropora29197	K05665
Acropora1609	K01858
Acropora9840	K11655
Acropora3625	K15259
Acropora11194	K00861
Acropora20996	K08269
Acropora36548	K20098
Acropora35061	K03234
Acropora19956	K01889
Acropora59101	K05665
Acropora24114	K16669
Acropora16555	K12385
Acropora93750	K10408
Acropora9497	K10960
Acropora57748	K01301
Acropora52441	K01371
Acropora79286	K05546
Acropora33678	K12855
Acropora25885	K18462
Acropora8720	K10477
Acropora21520	K12823
Acropora5875	K23934
Acropora79669	K08869
Acropora24061	K26165
Acropora42176	K10848
Acropora40780	K14379
Acropora91315	K20101
Acropora30426	K01768
Acropora30405	K06689
Acropora78809	K02324
Acropora3540	K09381
Acropora77876	K10408
Acropora8647	K15584
Acropora75742	K04554
Acropora24510	K03256
Acropora31983	K10479
Acropora3181	K14683
Acropora12252	K13126
Acropora2123	K22390
Acropora13559	K12305
Acropora78817	K06228
Acropora33234	K07369
Acropora1447	K04371
Acropora31365	K03440
Acropora65823	K19762
Acropora51407	K05208
Acropora2857	K03178
Acropora2178	K05236
Acropora5858	K02981
Acropora9725	K10082
Acropora24272	K04224
Acropora32796	K24469
Acropora36982	K00615
Acropora11159	K13807
Acropora2726	K03127
Acropora24468	K06901
Acropora18565	K02879
Acropora35498	K10902
Acropora41699	K01135
Acropora73175	K00873
Acropora36232	K08830
Acropora834	K10573
Acropora92136	K10730
Acropora27890	K03512
Acropora23618	K15104
Acropora28747	K24333
Acropora5866	K23796
Acropora48380	K14007
Acropora18376	K02212
Acropora17152	K11367
Acropora40923	K10443
Acropora25776	K12132
Acropora26511	K00784
Acropora49049	K04860
Acropora12117	K14996
Acropora18582	K03768
Acropora6848	K18050
Acropora76797	K19176
Acropora14107	K23343
Acropora6698	K13524
Acropora60834	K19737
Acropora13440	K08366
Acropora7768	K23507
Acropora61625	K00714
Acropora70059	K12442
Acropora10758	K14284
Acropora35291	K07868
Acropora58814	K08737
Acropora77712	K16726
Acropora20358	K16551
Acropora59493	K10405
Acropora5421	K02318
Acropora42258	K07375
Acropora23190	K01473
Acropora3247	K08958
Acropora95068	K01076
Acropora3201	K00031
Acropora6199	K12858
Acropora34326	K10223
Acropora777	K22390
Acropora10865	K13356
Acropora28640	K10899
Acropora62520	K00789
Acropora11633	K23343
Acropora4532	K08829
Acropora4713	K08375
Acropora37382	K01689
Acropora5258	K12385
Acropora22524	K04079
Acropora19568	K10756
Acropora18049	K02602
Acropora13286	K00789
Acropora80579	K01349
Acropora40237	K07806
Acropora21015	K10143
Acropora5581	K07375
Acropora7994	K14821
Acropora26697	K18060
Acropora20800	K06901
Acropora24721	K18398
Acropora3547	K23818
Acropora62466	K03809
Acropora94560	K00311
Acropora18719	K10419
Acropora52020	K01609
Acropora14900	K14001
Acropora41322	K09624
Acropora27872	K17941
Acropora16145	K14808
Acropora6777	K02991
Acropora77136	K05791
Acropora12220	K01080
Acropora669	K01624
Acropora38679	K20363
Acropora6059	K02219
Acropora21486	K02145
Acropora73658	K02349
Acropora58793	K03217
Acropora4623	K00635
Acropora24528	K14379
Acropora539	K10375
Acropora45129	K03032
Acropora28683	K25451
Acropora59952	K07300
Acropora61927	K04368
Acropora40440	K21988
Acropora28113	K24195
Acropora2920	K00799
Acropora59024	K18849
Acropora20008	K24123
Acropora8092	K22909
Acropora2634	K10149
Acropora7680	K25393
Acropora31134	K22628
Acropora31124	K10888
Acropora3227	K09497
Acropora77862	K12373
Acropora60774	K24865
Acropora12967	K01807
Acropora32903	K12442
Acropora2082	K03946
Acropora11024	K11593
Acropora39889	K10949
Acropora5335	K04543
Acropora419	K11252
Acropora5031	K13159
Acropora16484	K10891
Acropora25920	K12796
Acropora15994	K25900
Acropora89606	K00057
Acropora5623	K02599
Acropora8770	K20656
Acropora24775	K09866
Acropora6110	K18757
Acropora13364	K03354
Acropora43201	K04266
Acropora55878	K04874
Acropora81061	K24634
Acropora13156	K04978
Acropora9203	K19862
Acropora38368	K03035
Acropora43335	K17550
Acropora64240	K07478
Acropora18526	K01749
Acropora8835	K25165
Acropora57130	K00088
Acropora64898	K01770
Acropora319	K24342
Acropora3525	K19788
Acropora41951	K04874
Acropora9226	K24550
Acropora90843	K17943
Acropora20594	K01480
Acropora10306	K20309
Acropora15391	K01511
Acropora4628	K15909
Acropora37583	K00002
Acropora17267	K00927
Acropora1285	K05701
Acropora6361	K02915
Acropora23058	K03462
Acropora1788	K14411
Acropora91063	K04554
Acropora22944	K13755
Acropora20040	K15441
Acropora22893	K23293
Acropora10317	K01276
Acropora24048	K11314
Acropora20684	K23729
Acropora24209	K13147
Acropora74825	K09624
Acropora29793	K16292
Acropora1768	K20520
Acropora45101	K00088
Acropora49636	K12805
Acropora26717	K17538
Acropora18849	K21440
Acropora56624	K11971
Acropora15780	K24740
Acropora68069	K16608
Acropora37962	K01090
Acropora240	K16687
Acropora6611	K05051
Acropora35094	K00326
Acropora4051	K06237
Acropora1524	K04986
Acropora3599	K05402
Acropora23465	K12309
Acropora21914	K15127
Acropora28356	K04887
Acropora87432	K24543
Acropora18139	K01637
Acropora17124	K25738
Acropora52008	K13750
Acropora13375	K07127
Acropora21448	K06944
Acropora13370	K23288
Acropora74289	K00801
Acropora3956	K13447
Acropora54089	K05592
Acropora25875	K07752
Acropora17285	K12373
Acropora16623	K09496
Acropora55372	K08797
Acropora56578	K15421
Acropora37750	K04205
Acropora16263	K18667
Acropora11996	K08845
Acropora4638	K03115
Acropora1962	K08727
Acropora15412	K21870
Acropora14630	K11833
Acropora23065	K00381
Acropora33566	K01081
Acropora31460	K00461
Acropora7941	K09113
Acropora1441	K07841
Acropora92458	K00924
Acropora66545	K03654
Acropora69629	K09666
Acropora11270	K04491
Acropora8492	K17592
Acropora70605	K03250
Acropora8275	K19863
Acropora11675	K12869
Acropora22761	K17499
Acropora25769	K07964
Acropora61048	K07901
Acropora72223	K17938
Acropora22251	K12169
Acropora32135	K01191
Acropora33442	K04043
Acropora29398	K04739
Acropora44369	K24837
Acropora62	K19767
Acropora68582	K07877
Acropora53688	K25166
Acropora29768	K17943
Acropora27635	K05665
Acropora1730	K00164
Acropora33161	K01736
Acropora122	K02943
Acropora57302	K10408
Acropora86368	K11479
Acropora48672	K15227
Acropora94546	K01539
Acropora32563	K23342
Acropora18114	K22937
Acropora10313	K03006
Acropora2528	K00968
Acropora496	K04630
Acropora13797	K03870
Acropora6582	K06626
Acropora37255	K12392
Acropora32751	K18663
Acropora1050	K12394
Acropora4866	K01803
Acropora16172	K04575
Acropora85506	K00688
Acropora91251	K01255
Acropora26610	K02114
Acropora315	K02898
Acropora26117	K12600
Acropora8563	K10642
Acropora3929	K14565
Acropora3851	K21398
Acropora83095	K05673
Acropora48040	K16757
Acropora917	K23972
Acropora88676	K10807
Acropora20116	K12839
Acropora6451	K01116
Acropora4951	K05700
Acropora8576	K21797
Acropora1188	K12833
Acropora6987	K14286
Acropora14636	K03236
Acropora33420	K21434
Acropora11091	K19909
Acropora50046	K10357
Acropora7738	K26236
Acropora31445	K13612
Acropora25703	K11658
Acropora20370	K20840
Acropora8809	K25443
Acropora21639	K04460
Acropora36047	K00498
Acropora36866	K17341
Acropora8967	K24469
Acropora62436	K18166
Acropora80344	K01187
Acropora11494	K15637
Acropora27926	K22990
Acropora6875	K02606
Acropora37412	K02599
Acropora1203	K07509
Acropora36383	K24509
Acropora35901	K15791
Acropora22017	K25458
Acropora75774	K13412
Acropora9892	K13254
Acropora57207	K12035
Acropora78889	K12486
Acropora51270	K02202
Acropora56757	K11594
Acropora6062	K25700
Acropora4509	K00453
Acropora37530	K10408
Acropora62322	K17777
Acropora55450	K10443
Acropora7312	K00101
Acropora12974	K00600
Acropora12069	K10400
Acropora65852	K02324
Acropora5575	K07199
Acropora49128	K07198
Acropora8393	K14284
Acropora65915	K09385
Acropora62479	K10849
Acropora21625	K10529
Acropora16469	K20295
Acropora40252	K24427
Acropora4189	K19678
Acropora48254	K00558
Acropora25175	K07380
Acropora11306	K13525
Acropora4531	K26497
Acropora69103	K01958
Acropora41044	K03404
Acropora94920	K13758
Acropora3456	K24835
Acropora86702	K04460
Acropora24179	K11158
Acropora10115	K06819
Acropora34845	K24915
Acropora61380	K06238
Acropora5478	K01372
Acropora4169	K09554
Acropora11422	K19491
Acropora65541	K08337
Acropora10832	K14573
Acropora76854	K08193
Acropora18821	K17989
Acropora5185	K17551
Acropora12822	K24125
Acropora5229	K16729
Acropora60525	K04210
Acropora23486	K01256
Acropora91847	K01202
Acropora16010	K09405
Acropora62313	K25476
Acropora60705	K19360
Acropora4283	K00789
Acropora50892	K19673
Acropora29607	K01365
Acropora3399	K14007
Acropora29191	K24936
Acropora21838	K11253
Acropora39996	K05126
Acropora15479	K17759
Acropora23774	K02335
Acropora4688	K09527
Acropora67130	K05502
Acropora9219	K14545
Acropora33483	K10646
Acropora5346	K14005
Acropora14847	K00799
Acropora52277	K06115
Acropora42114	K01691
Acropora4471	K17929
Acropora35003	K24468
Acropora3336	K10442
Acropora8400	K22530
Acropora43834	K11997
Acropora15281	K02677
Acropora2652	K15296
Acropora92509	K03798
Acropora28692	K21768
Acropora63350	K13698
Acropora28940	K00850
Acropora69899	K24055
Acropora30713	K15270
Acropora9214	K14338
Acropora48056	K08621
Acropora84902	K02324
Acropora3701	K05850
Acropora34243	K01695
Acropora1850	K04802
Acropora67595	K10380
Acropora37086	K18261
Acropora8488	K15303
Acropora36481	K00958
Acropora17032	K24793
Acropora16446	K03655
Acropora36468	K01537
Acropora28137	K15276
Acropora56417	K14802
Acropora28198	K05658
Acropora61935	K01876
Acropora22075	K01488
Acropora29453	K10479
Acropora42950	K00930
Acropora76322	K04984
Acropora14692	K08802
Acropora18030	K15451
Acropora10882	K25429
Acropora14349	K08151
Acropora35295	K15710
Acropora18712	K24468
Acropora7246	K05641
Acropora37161	K25424
Acropora18383	K04712
Acropora46953	K08794
Acropora40772	K12391
Acropora5038	K04397
Acropora231	K12757
Acropora57331	K04445
Acropora9363	K23338
Acropora74046	K16608
Acropora10721	K24930
Acropora5954	K26111
Acropora23569	K18401
Acropora13141	K18625
Acropora76067	K13412
Acropora2147	K17986
Acropora65098	K10807
Acropora44936	K05673
Acropora54662	K02991
Acropora25326	K22378
Acropora14441	K03320
Acropora10158	K19328
Acropora30275	K06027
Acropora19514	K04799
Acropora65666	K23380
Acropora3793	K24431
Acropora12985	K10406
Acropora3846	K09549
Acropora12548	K12047
Acropora12083	K08465
Acropora61416	K21765
Acropora6590	K05736
Acropora10132	K01510
Acropora1728	K13210
Acropora28995	K01556
Acropora75200	K03511
Acropora3105	K06270
Acropora68175	K25897
Acropora7474	K17905
Acropora24684	K24835
Acropora6773	K03676
Acropora68386	K03798
Acropora36337	K01897
Acropora84122	K10401
Acropora3988	K24348
Acropora5063	K15261
Acropora8871	K00750
Acropora24282	K14550
Acropora24053	K17925
Acropora28592	K12894
Acropora4420	K00262
Acropora9647	K11876
Acropora62656	K10523
Acropora54429	K22125
Acropora79508	K04345
Acropora54451	K06276
Acropora52811	K12627
Acropora6490	K10366
Acropora68191	K18592
Acropora916	K16676
Acropora69278	K16669
Acropora1323	K04077
Acropora62680	K02471
Acropora4147	K16307
Acropora53690	K19612
Acropora56630	K17686
Acropora25523	K20476
Acropora11979	K00760
Acropora11386	K07868
Acropora32337	K07917
Acropora16031	K17731
Acropora13387	K19026
Acropora45285	K11252
Acropora12926	K15170
Acropora16875	K08582
Acropora16349	K00434
Acropora50870	K05674
Acropora4328	K13711
Acropora11213	K19934
Acropora20675	K00750
Acropora32599	K09568
Acropora31024	K24936
Acropora5134	K06172
Acropora8756	K08997
Acropora21501	K13861
Acropora78834	K09478
Acropora19897	K26111
Acropora37260	K03164
Acropora2991	K11087
Acropora670	K01275
Acropora38978	K09643
Acropora46505	K10892
Acropora70570	K13706
Acropora49293	K11850
Acropora16236	K09091
Acropora52596	K08798
Acropora17001	K03013
Acropora15800	K18667
Acropora34077	K06114
Acropora932	K06269
Acropora3185	K14947
Acropora20773	K01672
Acropora10591	K15216
Acropora18974	K20638
Acropora71366	K07198
Acropora10423	K08069
Acropora66311	K24895
Acropora13995	K00434
Acropora70279	K23735
Acropora77025	K17725
Acropora60554	K14072
Acropora66985	K10359
Acropora8179	K24098
Acropora13580	K04160
Acropora5617	K00207
Acropora3769	K07834
Acropora18410	K14387
Acropora30036	K01610
Acropora8028	K06184
Acropora23769	K13697
Acropora3834	K19511
Acropora57755	K15259
Acropora11697	K26682
Acropora91	K18245
Acropora27984	K01711
Acropora17922	K23934
Acropora8045	K24651
Acropora58383	K04688
Acropora72132	K01090
Acropora4663	K24392
Acropora64284	K15683
Acropora2038	K03942
Acropora89911	K08582
Acropora29898	K09228
Acropora46585	K06794
Acropora10252	K18674
Acropora8378	K04988
Acropora10326	K23970
Acropora2852	K03106
Acropora7953	K13912
Acropora88601	K24195
Acropora20603	K00600
Acropora67257	K24427
Acropora42443	K24095
Acropora234	K02726
Acropora57879	K09630
Acropora8386	K12875
Acropora505	K06528
Acropora12631	K25472
Acropora33005	K06238
Acropora54729	K07376
Acropora13767	K16474
Acropora28019	K06630
Acropora76828	K07304
Acropora22530	K00380
Acropora12141	K10478
Acropora26181	K18263
Acropora29217	K01077
Acropora47481	K17681
Acropora24888	K14963
Acropora1901	K12823
Acropora60431	K16506
Acropora7683	K04512
Acropora42860	K08869
Acropora31364	K16767
Acropora91363	K00777
Acropora70546	K08139
Acropora52114	K03929
Acropora19917	K10667
Acropora72039	K19398
Acropora28885	K24387
Acropora5153	K16365
Acropora47371	K15276
Acropora8335	K14943
Acropora25185	K13355
Acropora36843	K15377
Acropora25856	K11438
Acropora27647	K07404
Acropora15345	K13528
Acropora12547	K15615
Acropora57137	K05931
Acropora16939	K01796
Acropora64191	K13953
Acropora7419	K17401
Acropora45278	K22900
Acropora87003	K20029
Acropora81516	K19753
Acropora49652	K24824
Acropora82263	K07238
Acropora87170	K23342
Acropora8655	K00387
Acropora41119	K24427
Acropora35242	K11247
Acropora83482	K12400
Acropora60726	K03737
Acropora12696	K11990
Acropora27335	K07300
Acropora51165	K24631
Acropora3533	K02432
Acropora13024	K06819
Acropora938	K01596
Acropora7462	K14792
Acropora36084	K14338
Acropora81211	K11170
Acropora56260	K11204
Acropora75691	K02503
Acropora83563	K13517
Acropora11853	K08819
Acropora63601	K07874
Acropora36589	K18438
Acropora9575	K05463
Acropora20251	K13278
Acropora15252	K14523
Acropora41277	K04892
Acropora16387	K20353
Acropora6207	K01482
Acropora60126	K20404
Acropora20151	K08043
Acropora20992	K07874
Acropora33746	K14072
Acropora13256	K08469
Acropora6852	K09326
Acropora29923	K14415
Acropora26410	K25546
Acropora55498	K09069
Acropora2094	K15622
Acropora43524	K20028
Acropora79497	K22503
Acropora33173	K19527
Acropora10149	K19553
Acropora5372	K25686
Acropora7709	K11883
Acropora14948	K20167
Acropora12596	K17906
Acropora7933	K09195
Acropora54854	K14678
Acropora56516	K00889
Acropora27670	K23617
Acropora45863	K14855
Acropora22754	K24200
Acropora18089	K01365
Acropora9722	K00021
Acropora2497	K02728
Acropora15287	K06888
Acropora6124	K01868
Acropora5100	K11165
Acropora28526	K01262
Acropora22971	K15865
Acropora23366	K03437
Acropora3828	K00461
Acropora14012	K13104
Acropora42518	K13412
Acropora31107	K00077
Acropora74370	K00849
Acropora56148	K10396
Acropora15106	K14156
Acropora74884	K12035
Acropora7372	K01338
Acropora59601	K08794
Acropora4050	K02187
Acropora3060	K02875
Acropora63569	K17267
Acropora21371	K08793
Acropora15753	K03021
Acropora10259	K19525
Acropora37687	K07304
Acropora24296	K14338
Acropora9714	K11981
Acropora5054	K08076
Acropora28277	K20224
Acropora35025	K19937
Acropora3374	K05863
Acropora4988	K17086
Acropora92878	K10406
Acropora75144	K16857
Acropora83746	K00121
Acropora10634	K01512
Acropora76592	K07300
Acropora3325	K02943
Acropora1282	K02375
Acropora10524	K19408
Acropora28947	K17680
Acropora31711	K11422
Acropora88000	K15109
Acropora69521	K20795
Acropora23632	K13179
Acropora48541	K12400
Acropora8140	K22988
Acropora282	K06630
Acropora27776	K01689
Acropora52803	K01338
Acropora20637	K00857
Acropora4839	K00700
Acropora6302	K03260
Acropora37586	K12198
Acropora82094	K03348
Acropora14286	K20363
Acropora5579	K16669
Acropora2833	K03260
Acropora72111	K14209
Acropora6849	K22943
Acropora7839	K24814
Acropora6586	K25216
Acropora89466	K09230
Acropora59663	K01535
Acropora22006	K14944
Acropora1146	K24983
Acropora17422	K24348
Acropora40169	K22068
Acropora75969	K00413
Acropora21664	K21798
Acropora9558	K11481
Acropora25654	K08597
Acropora20194	K00599
Acropora31969	K18932
Acropora14959	K00280
Acropora34798	K22078
Acropora82090	K03164
Acropora33165	K08017
Acropora1796	K05702
Acropora7859	K14072
Acropora23125	K03363
Acropora62523	K10858
Acropora33219	K01025
Acropora6734	K07560
Acropora4491	K02207
Acropora20491	K11503
Acropora42031	K02999
Acropora7519	K19328
Acropora42910	K14015
Acropora20013	K17935
Acropora8187	K11446
Acropora8999	K02930
Acropora4409	K24426
Acropora30596	K19531
Acropora17123	K14610
Acropora12894	K13236
Acropora3548	K12231
Acropora21600	K14638
Acropora4965	K09098
Acropora30665	K25808
Acropora23055	K10408
Acropora62038	K00771
Acropora11501	K14649
Acropora26285	K13912
Acropora3477	K11127
Acropora53264	K03978
Acropora2584	K05688
Acropora84307	K13110
Acropora32277	K02541
Acropora46026	K16458
Acropora4877	K24143
Acropora33969	K19682
Acropora4117	K10408
Acropora30023	K14842
Acropora35058	K07376
Acropora19806	K01493
Acropora4176	K16939
Acropora62390	K10736
Acropora31417	K00111
Acropora4633	K03109
Acropora28081	K06794
Acropora36015	K04908
Acropora12180	K23342
Acropora8822	K15112
Acropora93228	K08585
Acropora2889	K07755
Acropora2386	K03083
Acropora73789	K03070
Acropora52925	K13448
Acropora1718	K23341
Acropora7560	K00274
Acropora13028	K14347
Acropora52861	K00461
Acropora8076	K14445
Acropora25513	K12460
Acropora78923	K04460
Acropora24864	K19760
Acropora65817	K03164
Acropora11688	K14285
Acropora36146	K01835
Acropora87562	K01693
Acropora44815	K25388
Acropora25478	K16600
Acropora12962	K17589
Acropora10970	K17907
Acropora49930	K16461
Acropora39004	K25471
Acropora16661	K21852
Acropora94510	K15083
Acropora14675	K00382
Acropora19236	K17542
Acropora18968	K09291
Acropora63842	K08621
Acropora17167	K20705
Acropora84167	K12854
Acropora26054	K09568
Acropora37894	K18729
Acropora1356	K04375
Acropora50441	K15075
Acropora18633	K01365
Acropora62602	K14415
Acropora42250	K05657
Acropora29784	K10706
Acropora80834	K00671
Acropora8416	K24065
Acropora60856	K14565
Acropora19175	K04249
Acropora60095	K12026
Acropora63518	K02111
Acropora25304	K17508
Acropora12552	K17586
Acropora72520	K13342
Acropora35173	K10997
Acropora57032	K05198
Acropora9967	K11649
Acropora7286	K14012
Acropora37582	K13515
Acropora2404	K13720
Acropora73444	K26109
Acropora10747	K24888
Acropora13763	K05126
Acropora27246	K07376
Acropora85370	K24635
Acropora5472	K16669
Acropora36218	K07198
Acropora8107	K09037
Acropora10691	K02896
Acropora10180	K01966
Acropora9288	K24729
Acropora83503	K13431
Acropora92256	K04905
Acropora5847	K07937
Acropora15181	K12172
Acropora15754	K02991
Acropora1357	K10352
Acropora966	K02694
Acropora23507	K11830
Acropora158	K02964
Acropora35245	K01648
Acropora33363	K09013
Acropora78571	K20994
Acropora11450	K08462
Acropora3750	K26546
Acropora7152	K25742
Acropora48922	K00943
Acropora71423	K01623
Acropora3335	K13703
Acropora605	K02137
Acropora19248	K02927
Acropora90654	K03424
Acropora41010	K01530
Acropora32587	K04456
Acropora52828	K13091
Acropora43222	K12836
Acropora24762	K06676
Acropora3422	K14457
Acropora49569	K01491
Acropora12708	K11155
Acropora7315	K04079
Acropora66638	K16604
Acropora8006	K01784
Acropora1006	K23041
Acropora19722	K26006
Acropora20823	K20099
Acropora4233	K00700
Acropora45880	K01315
Acropora41350	K17580
Acropora25265	K06115
Acropora44701	K16745
Acropora7255	K04402
Acropora58917	K03917
Acropora42120	K24230
Acropora30423	K24427
Acropora74437	K20876
Acropora39761	K23533
Acropora41644	K06692
Acropora28986	K23404
Acropora17381	K20129
Acropora17155	K25644
Acropora24319	K22763
Acropora74035	K05673
Acropora201	K18266
Acropora39799	K17341
Acropora4404	K14163
Acropora41109	K06225
Acropora2232	K18334
Acropora1715	K21890
Acropora69351	K01414
Acropora7450	K23732
Acropora18980	K25207
Acropora71899	K23899
Acropora87723	K03766
Acropora10094	K23333
Acropora3053	K11131
Acropora41548	K01379
Acropora51	K02977
Acropora17719	K11096
Acropora25868	K26162
Acropora14508	K13509
Acropora45861	K24427
Acropora11227	K25616
Acropora13701	K15720
Acropora43159	K10798
Acropora8279	K10691
Acropora8424	K20293
Acropora4454	K00273
Acropora6781	K20795
Acropora10543	K20176
Acropora36818	K09267
Acropora218	K02875
Acropora15565	K04606
Acropora81530	K10589
Acropora61198	K13339
Acropora25077	K01889
Acropora18	K08770
Acropora7816	K00461
Acropora64429	K15839
Acropora87761	K07497
Acropora23468	K23040
Acropora90887	K03006
Acropora10857	K22641
Acropora17853	K23563
Acropora60204	K10862
Acropora70899	K05048
Acropora57549	K17535
Acropora22573	K06901
Acropora84773	K01414
Acropora70484	K13755
Acropora14438	K20045
Acropora2176	K05768
Acropora92792	K24938
Acropora44095	K17495
Acropora24355	K21413
Acropora47102	K15258
Acropora43428	K02966
Acropora71137	K10416
Acropora41724	K24464
Acropora52255	K07429
Acropora21290	K04223
Acropora9306	K03174
Acropora54647	K07562
Acropora3774	K02115
Acropora8249	K16803
Acropora29381	K00264
Acropora1263	K03062
Acropora28944	K04460
Acropora26764	K07376
Acropora46410	K25388
Acropora49971	K01358
Acropora8797	K24792
Acropora5129	K10752
Acropora7496	K26167
Acropora71482	K01082
Acropora45962	K12440
Acropora12715	K08052
Acropora93002	K05349
Acropora43315	K02295
Acropora10537	K00078
Acropora92112	K08635
Acropora25146	K12739
Acropora803	K10364
Acropora11859	K04392
Acropora13150	K09838
Acropora1576	K06269
Acropora25053	K08869
